Date,Open,High,Low,Close,Adj Close,Volume
2023-03-16,35.500000,35.700001,34.750000,35.049999,34.682129,3515620
2023-03-17,35.400002,35.849998,35.000000,35.200001,34.830555,3671290
2023-03-20,35.000000,35.150002,34.049999,34.200001,33.841053,4511052
2023-03-21,34.400002,34.599998,33.799999,33.900002,33.544201,3156673
2023-03-22,34.000000,34.400002,33.750000,34.049999,33.692623,4353887
2023-03-23,34.299999,34.700001,33.750000,33.849998,33.494720,5270652
2023-03-24,34.049999,34.250000,32.549999,32.799999,32.455742,5172027
2023-03-27,33.049999,33.250000,31.700001,32.000000,31.664141,5338589
2023-03-28,32.000000,32.099998,30.950001,31.100000,30.773586,6723842
2023-03-29,31.400000,36.799999,31.400000,35.250000,34.880032,29188565
2023-03-31,35.200001,36.150002,34.599998,35.450001,35.077930,10007186
2023-04-03,35.450001,36.099998,35.299999,35.650002,35.275833,4021505
2023-04-05,37.000000,37.750000,36.450001,36.950001,36.562187,18383529
2023-04-06,36.799999,38.000000,36.250000,37.700001,37.304317,8246881
2023-04-10,37.700001,37.900002,37.150002,37.299999,36.908512,3297799
2023-04-11,37.299999,38.799999,36.700001,37.950001,37.551693,13993447
2023-04-12,37.650002,38.400002,37.500000,38.000000,37.601166,5107542
2023-04-13,37.799999,38.599998,37.700001,38.150002,37.749596,3508374
2023-04-17,38.049999,39.849998,37.700001,38.750000,38.343296,13420578
2023-04-18,38.799999,38.900002,37.900002,38.250000,37.848545,3402512
2023-04-19,38.250000,38.950001,37.849998,38.099998,37.700115,5552451
2023-04-20,38.799999,39.400002,38.549999,39.000000,38.590672,9423011
2023-04-21,39.000000,39.000000,37.900002,38.099998,37.700115,4016148
2023-04-24,38.099998,38.400002,37.799999,38.000000,37.601166,5686770
2023-04-25,38.099998,39.349998,37.950001,38.750000,38.343296,6375151
2023-04-26,38.700001,39.799999,38.549999,38.849998,38.442245,6249261
2023-04-27,38.849998,39.200001,38.650002,38.750000,38.343296,2769030
2023-04-28,38.799999,40.200001,38.799999,39.299999,38.887524,6929749
2023-05-02,39.500000,40.599998,39.500000,40.049999,39.629650,10429591
2023-05-03,39.849998,41.450001,39.650002,40.549999,40.124401,13117763
2023-05-04,40.650002,41.900002,40.299999,41.450001,41.014957,13587644
2023-05-05,41.700001,42.150002,40.599998,40.849998,40.421253,9209254
2023-05-08,41.150002,43.000000,40.950001,41.650002,41.212860,23946301
2023-05-09,41.799999,42.200001,40.250000,40.400002,39.975979,7013476
2023-05-10,40.549999,41.150002,39.150002,40.900002,40.470730,8978662
2023-05-11,41.099998,41.900002,40.650002,41.450001,41.014957,8046238
2023-05-12,41.700001,42.000000,41.099998,41.299999,40.866531,6299164
2023-05-15,41.299999,41.400002,40.250000,41.099998,40.668629,4744497
2023-05-16,41.099998,42.650002,41.049999,41.700001,41.262333,14755290
2023-05-17,41.849998,42.750000,41.250000,41.400002,40.965485,8238941
2023-05-18,41.750000,42.099998,40.650002,40.950001,40.520206,5409559
2023-05-19,41.200001,41.200001,40.049999,40.599998,40.173878,4723314
2023-05-22,40.700001,40.750000,40.000000,40.200001,39.778076,2692558
2023-05-23,40.349998,40.700001,40.099998,40.250000,39.827553,3014625
2023-05-24,40.049999,43.450001,39.900002,43.299999,42.845539,39383497
2023-05-25,43.500000,43.900002,42.299999,42.700001,42.251839,11969825
2023-05-26,42.799999,43.000000,41.799999,41.900002,41.460236,5785701
2023-05-29,42.250000,42.650002,41.400002,42.150002,41.707611,6999593
2023-05-30,43.400002,44.200001,42.349998,42.599998,42.152885,25472042
2023-05-31,42.650002,42.750000,41.900002,42.349998,41.905510,5709894
2023-06-01,42.349998,43.500000,42.349998,43.200001,42.746590,11220977
2023-06-02,43.500000,44.700001,43.099998,43.750000,43.290817,22055877
2023-06-05,44.000000,44.299999,42.549999,42.750000,42.301311,7868700
2023-06-06,42.950001,43.049999,41.900002,42.400002,41.954987,7246088
2023-06-07,42.400002,43.250000,42.349998,42.549999,42.103413,7563325
2023-06-08,42.700001,43.000000,41.299999,41.599998,41.163380,8068612
2023-06-09,41.799999,42.450001,41.400002,41.549999,41.113907,4927094
2023-06-12,41.549999,42.450001,41.349998,41.849998,41.410759,7120012
2023-06-13,42.099998,42.450001,41.599998,41.799999,41.361282,5247745
2023-06-14,41.950001,42.200001,41.349998,41.549999,41.113907,3540107
2023-06-15,41.549999,42.150002,40.900002,41.049999,40.619156,5748213
2023-06-16,41.349998,41.650002,41.000000,41.200001,40.767582,3376677
2023-06-19,41.349998,41.700001,40.799999,41.150002,40.718109,4628445
2023-06-20,41.150002,41.500000,40.650002,41.099998,40.668629,4779713
2023-06-21,41.250000,41.950001,40.650002,40.849998,40.421253,8352277
2023-06-22,40.849998,41.099998,40.250000,40.450001,40.025455,3884793
2023-06-23,40.450001,40.549999,39.549999,39.700001,39.283325,4101649
2023-06-26,39.700001,39.799999,39.049999,39.700001,39.283325,4067332
2023-06-27,39.900002,40.150002,39.450001,39.599998,39.184372,2941606
2023-06-28,39.799999,39.950001,38.200001,38.450001,38.046444,11523191
2023-06-30,38.599998,39.799999,38.500000,39.599998,39.184372,9682503
2023-07-03,40.000000,40.150002,39.150002,39.299999,38.887524,10366760
2023-07-04,39.349998,40.700001,38.900002,40.200001,39.778076,10962039
2023-07-05,40.349998,40.900002,40.200001,40.549999,40.124401,5758540
2023-07-06,40.650002,41.349998,40.200001,40.349998,39.926502,7247073
2023-07-07,40.349998,40.799999,39.599998,40.150002,39.728603,5046316
2023-07-10,40.099998,42.200001,40.000000,41.099998,40.668629,15367789
2023-07-11,41.250000,41.700001,41.049999,41.450001,41.014957,6216103
2023-07-12,41.700001,42.200001,40.500000,40.700001,40.272831,12500998
2023-07-13,40.900002,41.299999,40.200001,40.700001,40.272831,7830073
2023-07-14,40.849998,41.599998,40.750000,41.150002,40.718109,8809881
2023-07-17,41.250000,41.650002,40.900002,41.549999,41.113907,6586495
2023-07-18,41.650002,41.849998,41.349998,41.650002,41.212860,5823369
2023-07-19,41.599998,42.349998,41.349998,41.549999,41.113907,9490226
2023-07-20,41.599998,41.849998,41.150002,41.299999,40.866531,5030753
2023-07-21,41.450001,42.000000,41.250000,41.400002,40.965485,5459645
2023-07-24,41.450001,42.450001,41.400002,41.849998,41.410759,9919780
2023-07-25,42.099998,43.750000,41.900002,42.750000,42.301311,20345457
2023-07-26,42.549999,43.500000,41.900002,42.750000,42.301311,15005703
2023-07-27,43.000000,43.750000,42.450001,42.849998,42.400261,11029459
2023-07-28,43.000000,43.849998,42.950001,43.250000,42.796066,13983959
2023-07-31,43.450001,46.500000,43.250000,46.150002,45.665630,45079315
2023-08-01,46.450001,46.450001,44.799999,45.450001,44.972977,14825907
2023-08-02,45.000000,46.750000,43.349998,44.250000,43.785568,18264041
2023-08-03,44.099998,45.299999,43.349998,43.849998,43.389767,10954839
2023-08-04,44.150002,48.099998,44.150002,47.450001,46.951984,51114467
2023-08-07,47.849998,48.900002,46.500000,48.099998,47.595161,27279612
2023-08-08,48.299999,49.650002,47.250000,48.250000,47.743587,22310399
2023-08-09,48.450001,49.349998,47.650002,48.799999,48.287815,14584659
2023-08-10,48.700001,49.000000,47.400002,47.650002,47.149887,9843377
2023-08-11,49.400002,51.200001,48.400002,48.750000,48.238338,45919912
2023-08-14,48.950001,48.950001,46.599998,47.400002,46.902512,13904965
2023-08-16,47.400002,49.799999,46.849998,48.450001,47.941490,15405101
2023-08-17,48.500000,48.950001,47.299999,47.599998,47.100407,8863773
2023-08-18,47.599998,48.400002,47.049999,47.349998,46.853031,7840554
2023-08-21,47.349998,48.500000,47.049999,47.450001,46.951984,6945084
2023-08-22,47.650002,51.400002,47.599998,51.049999,50.514198,57205466
2023-08-23,51.700001,52.099998,50.250000,50.650002,50.118401,31136427
2023-08-24,51.000000,51.500000,50.200001,50.700001,50.167873,11621447
2023-08-25,50.349998,50.750000,48.450001,49.099998,48.584663,10634849
2023-08-28,49.450001,51.400002,49.000000,50.849998,50.316296,14621877
2023-08-29,51.500000,52.000000,50.650002,51.099998,50.563675,15525076
2023-08-30,51.299999,52.500000,51.000000,51.349998,50.811050,19971592
2023-08-31,51.599998,52.400002,51.099998,51.450001,50.910004,9424239
2023-09-01,51.450001,53.299999,51.349998,52.750000,52.750000,23432794
2023-09-04,53.150002,57.700001,52.849998,56.000000,56.000000,53964092
2023-09-05,56.349998,61.150002,55.049999,59.650002,59.650002,83785938
2023-09-06,61.650002,63.599998,59.000000,59.799999,59.799999,84480065
2023-09-07,59.799999,60.799999,58.500000,58.950001,58.950001,25102489
2023-09-08,59.000000,60.400002,58.250000,59.599998,59.599998,20373507
2023-09-11,60.000000,61.400002,59.700001,60.250000,60.250000,22384789
2023-09-12,60.599998,60.650002,54.400002,54.700001,54.700001,29524321
2023-09-13,54.950001,57.000000,53.549999,56.299999,56.299999,19877603
2023-09-14,59.000000,63.500000,57.700001,60.650002,60.650002,118084732
2023-09-15,61.250000,62.000000,59.650002,60.349998,60.349998,25486777
2023-09-18,60.500000,60.599998,58.450001,58.700001,58.700001,14946463
2023-09-20,59.450001,61.200001,59.000000,59.250000,59.250000,27278248
2023-09-21,59.250000,60.099998,56.700001,57.200001,57.200001,17808539
2023-09-22,57.900002,59.500000,56.900002,58.299999,58.299999,30798281
2023-09-25,58.299999,58.549999,57.400002,57.650002,57.650002,10178558
2023-09-26,57.650002,58.299999,57.150002,57.450001,57.450001,14276216
2023-09-27,57.349998,59.250000,56.700001,58.700001,58.700001,18883428
2023-09-28,60.950001,61.450001,58.000000,58.150002,58.150002,27012238
2023-09-29,58.549999,59.250000,57.799999,58.500000,58.500000,10611075
2023-10-03,58.500000,59.349998,57.900002,58.299999,58.299999,10490780
2023-10-04,58.349998,59.250000,56.849998,57.650002,57.650002,12550315
2023-10-05,57.900002,58.500000,57.500000,57.750000,57.750000,9595015
2023-10-06,58.000000,61.849998,57.599998,61.049999,61.049999,42155584
2023-10-09,59.700001,59.849998,57.549999,57.799999,57.799999,20170634
2023-10-10,58.400002,63.099998,58.099998,61.849998,61.849998,59244840
2023-10-11,62.349998,64.650002,62.200001,62.650002,62.650002,55587276
2023-10-12,62.900002,65.349998,62.200001,63.750000,63.750000,48261594
